Bowler,Matches,Innings,Overs,RunsGiven,Wickets,Economy,StrikeRate,Average,5W,3W,MaidenOvers,DotBalls,Extras,UniqueOpponents,OpponentsList
B Geeves,2,2,8.0,91,1,11.38,48.0,91.0,0,0,0,15,1,2,Mumbai Indians|Rajasthan Royals
MK Lomror,11,11,15.0,127,1,8.47,90.0,127.0,0,0,0,22,4,7,Delhi Capitals|Gujarat Titans|Kings XI Punjab|Lucknow Super Giants|Punjab Kings|Royal Challengers Bangalore|Sunrisers Hyderabad
GS Sandhu,2,2,8.0,82,1,10.25,48.0,82.0,0,0,0,10,0,2,Chennai Super Kings|Rajasthan Royals
M Siddharth,3,3,9.5,70,1,7.37,57.0,70.0,0,0,0,23,4,3,Gujarat Titans|Punjab Kings|Royal Challengers Bengaluru
Y Prithvi Raj,2,2,5.0,57,1,11.4,30.0,57.0,0,0,0,8,3,2,Rajasthan Royals|Sunrisers Hyderabad
KT Maphaka,2,2,6.0,89,1,14.83,36.0,89.0,0,0,0,12,3,2,Rajasthan Royals|Sunrisers Hyderabad
P Dubey,4,4,11.0,91,1,8.27,66.0,91.0,0,0,0,20,1,3,Mumbai Indians|Punjab Kings|Sunrisers Hyderabad
RJ Gleeson,2,2,8.0,71,1,8.88,48.0,71.0,0,0,0,20,4,1,Punjab Kings
RG More,2,2,5.8,59,1,10.11,35.0,59.0,0,0,0,5,2,2,Kolkata Knight Riders|Sunrisers Hyderabad
AA Jhunjhunwala,10,10,14.2,129,1,9.11,85.0,129.0,0,0,0,28,3,5,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Mumbai Indians
DJM Short,2,2,3.0,19,1,6.33,18.0,19.0,0,0,0,8,0,2,Royal Challengers Bangalore|Sunrisers Hyderabad
L Wood,2,2,6.2,93,1,15.08,37.0,93.0,0,0,0,9,2,2,Delhi Capitals|Gujarat Titans
SA Abbott,3,3,9.0,104,1,11.56,54.0,104.0,0,0,0,13,5,3,Delhi Capitals|Kolkata Knight Riders|Sunrisers Hyderabad
LI Meriwala,1,1,3.2,32,1,10.11,19.0,32.0,0,0,0,6,1,1,Punjab Kings
V Viyaskanth,3,3,10.0,86,1,8.6,60.0,86.0,0,0,0,19,0,3,Kolkata Knight Riders|Lucknow Super Giants|Punjab Kings
DB Ravi Teja,2,2,3.0,28,1,9.33,18.0,28.0,0,0,0,4,0,2,Kolkata Knight Riders|Royal Challengers Bangalore
D Salunkhe,5,5,8.0,78,1,9.75,48.0,78.0,0,0,0,15,8,4,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab
Mohit Rathee,1,1,2.0,29,0,14.5,0.0,0.0,0,0,0,3,0,1,Sunrisers Hyderabad
CK Kapugedera,3,3,2.8,49,0,17.29,0.0,0.0,0,0,0,0,0,3,Delhi Daredevils|Kings XI Punjab|Mumbai Indians
M Shahrukh Khan,2,2,2.0,15,0,7.5,0.0,0.0,0,0,0,4,0,2,Delhi Capitals|Punjab Kings
MW Short,3,3,4.0,25,0,6.25,0.0,0.0,0,0,0,11,1,3,Gujarat Titans|Lucknow Super Giants|Mumbai Indians
Gulbadin Naib,1,1,1.0,12,0,12.0,0.0,0.0,0,0,0,1,0,1,Lucknow Super Giants
N Wadhera,1,1,2.0,13,0,6.5,0.0,0.0,0,0,0,2,0,1,Lucknow Super Giants
MJ Suthar,1,1,2.0,26,0,13.0,0.0,0.0,0,0,0,4,0,1,Royal Challengers Bengaluru
Abdur Razzak,1,1,2.2,29,0,13.38,0.0,0.0,0,0,0,5,6,1,Rajasthan Royals
LPC Silva,1,1,1.0,21,0,21.0,0.0,0.0,0,0,0,0,0,1,Royal Challengers Bangalore
R Ravindra,2,2,2.0,7,0,3.5,0.0,0.0,0,0,0,5,0,2,Kolkata Knight Riders|Sunrisers Hyderabad
Arshad Khan (2),1,1,2.0,24,0,12.0,0.0,0.0,0,0,0,5,2,1,Kolkata Knight Riders
M Vijay,4,4,6.0,49,0,8.17,0.0,0.0,0,0,0,8,1,3,Chennai Super Kings|Mumbai Indians|Sunrisers Hyderabad
H Sharma,2,2,5.0,57,0,11.4,0.0,0.0,0,0,0,4,0,2,Gujarat Titans|Rajasthan Royals
Sunny Gupta,1,1,3.0,47,0,15.67,0.0,0.0,0,0,0,0,2,1,Chennai Super Kings
SZ Mulani,2,2,5.0,57,0,11.4,0.0,0.0,0,0,0,7,3,2,Gujarat Titans|Sunrisers Hyderabad
JE Root,1,1,2.0,14,0,7.0,0.0,0.0,0,0,0,2,0,1,Kolkata Knight Riders
Naman Dhir,3,3,4.7,55,0,11.79,0.0,0.0,0,0,0,3,1,3,Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants
Vivrant Sharma,2,2,3.2,37,0,11.68,0.0,0.0,0,0,0,5,3,2,Mumbai Indians|Rajasthan Royals
C Munro,2,2,2.0,15,0,7.5,0.0,0.0,0,0,0,5,0,2,Delhi Daredevils|Sunrisers Hyderabad
S Joseph,1,1,4.5,47,0,10.44,0.0,0.0,0,0,0,12,10,1,Kolkata Knight Riders
SA Yadav,1,1,1.0,8,0,8.0,0.0,0.0,0,0,0,2,0,1,Delhi Daredevils
R Goyal,1,1,4.0,33,0,8.25,0.0,0.0,0,0,0,7,0,1,Chennai Super Kings
MG Neser,1,1,4.2,62,0,14.88,0.0,0.0,0,0,0,5,1,1,Royal Challengers Bangalore
Gurnoor Brar,1,1,3.3,42,0,12.6,0.0,0.0,0,0,0,7,3,1,Lucknow Super Giants
BJ Rohrer,1,1,1.0,12,0,12.0,0.0,0.0,0,0,0,1,1,1,Rajasthan Royals
Sumit Kumar,2,2,3.3,38,0,11.4,0.0,0.0,0,0,0,4,2,2,Kolkata Knight Riders|Punjab Kings
S Sriram,2,2,3.0,49,0,16.33,0.0,0.0,0,0,0,2,0,2,Kings XI Punjab|Kolkata Knight Riders
RR Bhatkal,1,1,2.0,35,0,17.5,0.0,0.0,0,0,0,0,0,1,Chennai Super Kings
NA Saini,1,1,2.5,34,0,13.6,0.0,0.0,0,0,0,3,3,1,Sunrisers Hyderabad
KAJ Roach,2,2,8.2,80,0,9.8,0.0,0.0,0,0,0,20,4,2,Kolkata Knight Riders|Mumbai Indians
RA Shaikh,1,1,1.0,11,0,11.0,0.0,0.0,0,0,0,1,0,1,Delhi Daredevils
B Chipli,1,1,1.0,20,0,20.0,0.0,0.0,0,0,0,1,0,1,Delhi Daredevils
A Dananjaya,1,1,4.0,47,0,11.75,0.0,0.0,0,0,0,6,1,1,Delhi Daredevils
Monu Kumar,1,1,2.2,20,0,9.23,0.0,0.0,0,0,0,4,4,1,Royal Challengers Bangalore
CJ Green,1,1,2.8,24,0,8.47,0.0,0.0,0,0,0,6,0,1,Mumbai Indians
DA Warner,1,1,0.2,2,0,12.0,0.0,0.0,0,0,0,0,1,1,Delhi Capitals
I Malhotra,1,1,1.0,23,0,23.0,0.0,0.0,0,0,0,0,0,1,Delhi Daredevils
RS Gavaskar,1,1,1.0,8,0,8.0,0.0,0.0,0,0,0,2,0,1,Royal Challengers Bangalore
NL McCullum,2,2,5.0,34,0,6.8,0.0,0.0,0,0,0,11,0,2,Chennai Super Kings|Rajasthan Royals
AC Voges,7,7,9.0,76,0,8.44,0.0,0.0,0,0,0,15,2,6,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Royal Challengers Bangalore
CJ Dala,1,1,3.0,34,0,11.33,0.0,0.0,0,0,0,7,1,1,Royal Challengers Bangalore
AA Kazi,1,1,2.0,21,0,10.5,0.0,0.0,0,0,0,2,1,1,Rajasthan Royals
C Ganapathy,1,1,1.0,13,0,13.0,0.0,0.0,0,0,0,1,0,1,Royal Challengers Bangalore
NJ Rimmington,1,1,3.0,19,0,6.33,0.0,0.0,0,0,0,10,0,1,Pune Warriors
M Manhas,3,3,7.0,42,0,6.0,0.0,0.0,0,0,0,15,0,3,Deccan Chargers|Kings XI Punjab|Royal Challengers Bangalore
MB Parmar,1,1,3.0,33,0,11.0,0.0,0.0,0,0,0,4,1,1,Deccan Chargers
AUK Pathan,3,3,6.5,63,0,9.69,0.0,0.0,0,0,0,9,6,3,Kings XI Punjab|Kochi Tuskers Kerala|Mumbai Indians
SN Khan,1,1,0.3,6,0,18.0,0.0,0.0,0,0,0,0,0,1,Royal Challengers Bangalore
Mandeep Singh,2,2,2.0,26,0,13.0,0.0,0.0,0,0,0,1,0,2,Kolkata Knight Riders|Rajasthan Royals
S Midhun,1,1,2.0,27,0,13.5,0.0,0.0,0,0,0,4,1,1,Kolkata Knight Riders
FY Fazal,2,2,2.0,20,0,10.0,0.0,0.0,0,0,0,1,0,2,Kings XI Punjab|Kolkata Knight Riders
P Ray Barman,1,1,4.0,56,0,14.0,0.0,0.0,0,0,0,2,0,1,Sunrisers Hyderabad
Jalaj S Saxena,1,1,3.0,27,0,9.0,0.0,0.0,0,0,0,5,0,1,Delhi Capitals
P Prasanth,1,1,1.0,18,0,18.0,0.0,0.0,0,0,0,3,0,1,Rajasthan Royals
KR Mayers,6,6,7.3,59,0,8.05,0.0,0.0,0,0,0,14,4,5,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Punjab Kings|Sunrisers Hyderabad
Tejas Baroka,1,1,3.5,33,0,9.43,0.0,0.0,0,0,0,6,0,1,Sunrisers Hyderabad
K Upadhyay,3,3,9.0,81,0,9.0,0.0,0.0,0,0,0,20,2,3,Kolkata Knight Riders|Rajasthan Royals|Royal Challengers Bangalore
SPD Smith,1,1,0.3,5,0,15.0,0.0,0.0,0,0,0,0,0,1,Rajasthan Royals
R Sanjay Yadav,1,1,2.0,23,0,11.5,0.0,0.0,0,0,0,6,2,1,Sunrisers Hyderabad
KS Williamson,2,2,3.0,31,0,10.33,0.0,0.0,0,0,0,2,0,2,Kolkata Knight Riders|Mumbai Indians
LRPL Taylor,2,2,2.0,24,0,12.0,0.0,0.0,0,0,0,0,1,2,Chennai Super Kings|Royal Challengers Bangalore
SS Iyer,1,1,1.0,7,0,7.0,0.0,0.0,0,0,0,4,0,1,Delhi Capitals
RR Bose,1,1,2.0,24,0,12.0,0.0,0.0,0,0,0,5,0,1,Royal Challengers Bangalore
K Goel,6,6,11.0,93,0,8.45,0.0,0.0,0,0,0,20,1,3,Chennai Super Kings|Mumbai Indians|Rajasthan Royals
Aman Hakim Khan,1,1,1.0,13,0,13.0,0.0,0.0,0,0,0,1,0,1,Sunrisers Hyderabad
SR Tendulkar,4,4,6.0,58,0,9.67,0.0,0.0,0,0,0,5,1,4,Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Royal Challengers Bangalore
F du Plessis,1,1,1.0,16,0,16.0,0.0,0.0,0,0,0,0,0,1,Deccan Chargers
Mashrafe Mortaza,1,1,4.3,58,0,13.38,0.0,0.0,0,0,0,7,4,1,Deccan Chargers
Tilak Varma,4,4,3.7,28,0,7.64,0.0,0.0,0,0,0,8,1,4,Delhi Capitals|Kolkata Knight Riders|Lucknow Super Giants|Rajasthan Royals
YBK Jaiswal,1,1,0.2,6,0,36.0,0.0,0.0,0,0,0,0,0,1,Royal Challengers Bangalore
AS Raut,5,5,5.0,44,0,8.8,0.0,0.0,0,0,0,7,0,4,Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Royal Challengers Bangalore
DJ Harris,2,2,3.0,26,0,8.67,0.0,0.0,0,0,0,4,0,2,Chennai Super Kings|Kings XI Punjab
RW Price,1,1,3.0,33,0,11.0,0.0,0.0,0,0,0,1,0,1,Kolkata Knight Riders
VS Yeligati,2,2,5.0,59,0,11.8,0.0,0.0,0,0,0,8,6,2,Chennai Super Kings|Kings XI Punjab
RV Patel,1,1,3.0,22,0,7.33,0.0,0.0,0,0,0,5,2,1,Royal Challengers Bangalore
RA Tripathi,1,1,1.0,12,0,12.0,0.0,0.0,0,0,0,0,0,1,Kolkata Knight Riders
S Rana,3,3,2.7,18,0,6.75,0.0,0.0,0,0,0,5,0,2,Chennai Super Kings|Kolkata Knight Riders
Y Gnaneswara Rao,1,1,1.0,7,0,7.0,0.0,0.0,0,0,0,3,0,1,Rajasthan Royals
Atharva Taide,1,1,0.2,4,0,24.0,0.0,0.0,0,0,0,0,0,1,Sunrisers Hyderabad
